
invx1 - cell_rise (ns)
0.01,0.00306,0.00421,0.00726,0.01553,0.03727,0.09522,0.24900
0.0231,0.00394,0.00478,0.00738,0.01553,0.03727,0.09521,0.24900
0.0531,0.00669,0.00800,0.01085,0.01702,0.03727,0.09522,0.24900
0.1225,0.01143,0.01356,0.01801,0.02615,0.04209,0.09523,0.24900
0.2823,0.02030,0.02347,0.03028,0.04293,0.06417,0.10637,0.24900
0.6507,0.03879,0.04310,0.05270,0.07141,0.10405,0.15812,0.27122
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

invx8 - cell_rise (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00705,0.00765,0.00930,0.01342,0.02339,0.04882,0.11556
0.0231,0.01008,0.01086,0.01248,0.01636,0.02629,0.05186,0.11870
0.0531,0.01370,0.01493,0.01775,0.02334,0.03347,0.05897,0.12594
0.1225,0.01850,0.02040,0.02483,0.03372,0.04922,0.07607,0.14289
0.2823,0.02575,0.02842,0.03481,0.04822,0.07261,0.11318,0.18272
0.6507,0.03846,0.04205,0.05080,0.06963,0.10576,0.16932,0.27136
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

invx8 - cell_fall (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00732,0.00789,0.00937,0.01304,0.02185,0.04434,0.10339
0.0231,0.00943,0.01013,0.01177,0.01540,0.02434,0.04701,0.10616
0.0531,0.01172,0.01280,0.01536,0.02068,0.03042,0.05321,0.11253
0.1225,0.01350,0.01516,0.01912,0.02732,0.04223,0.06799,0.12737
0.2823,0.01320,0.01568,0.02158,0.03390,0.05669,0.09603,0.16207
0.6507,0.00713,0.01075,0.01938,0.03745,0.07124,0.13104,0.23063
1.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000

invx8 - rise_transition (ns)
Slew \ Load,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.01,0.00357,0.00426,0.00621,0.01140,0.02506,0.06147,0.15809
0.0231,0.00523,0.00559,0.00690,0.01139,0.02506,0.06146,0.15809
0.0531,0.00887,0.00969,0.01161,0.01501,0.02588,0.06146,0.15809
0.1225,0.01476,0.01606,0.01906,0.02489,0.03504,0.06376,0.15809
